Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Season
02/01/2023,Strasbourg,Troyes,2,3,A,1,2,A,17,9,7,5,10,12,3,1,1,2,0,0,22-23
02/01/2023,Lille,Reims,1,1,D,1,0,H,14,9,5,6,8,12,5,1,1,1,0,0,22-23
02/01/2023,Montpellier,Marseille,1,2,A,0,0,D,8,18,1,9,10,14,5,7,2,2,0,1,22-23
02/01/2023,Rennes,Nice,2,1,H,1,1,D,20,7,5,3,16,7,5,2,1,1,0,0,22-23
11/01/2023,Ajaccio,Reims,0,1,A,0,1,A,11,9,1,3,20,22,2,2,3,3,0,0,22-23
11/01/2023,Auxerre,Toulouse,0,5,A,0,3,A,19,9,4,7,22,13,7,4,3,1,0,0,22-23
11/01/2023,Brest,Lille,0,0,D,0,0,D,5,11,0,4,15,12,0,8,0,1,0,0,22-23
11/01/2023,Clermont,Rennes,2,1,H,1,0,H,11,9,5,2,12,13,4,1,0,2,0,2,22-23
11/01/2023,Nantes,Lyon,0,0,D,0,0,D,13,10,5,6,12,15,6,1,2,3,0,0,22-23
11/01/2023,Lorient,Monaco,2,2,D,0,0,D,8,16,6,4,8,13,3,4,1,1,0,0,22-23
11/01/2023,Nice,Montpellier,6,1,H,2,0,H,16,4,10,2,16,17,3,4,1,1,0,0,22-23
11/01/2023,Paris SG,Angers,2,0,H,1,0,H,9,6,6,0,5,10,5,1,1,2,0,0,22-23
11/01/2023,Strasbourg,Lens,2,2,D,2,2,D,9,15,6,8,15,10,3,4,1,1,0,0,22-23
11/01/2023,Troyes,Marseille,0,2,A,0,1,A,5,13,1,4,12,13,4,7,2,3,0,0,22-23
14/01/2023,Lens,Auxerre,1,0,H,0,0,D,10,6,2,1,21,16,9,2,2,4,0,1,22-23
14/01/2023,Marseille,Lorient,3,1,H,1,1,D,16,11,8,3,14,12,6,3,1,0,0,0,22-23
14/01/2023,Lyon,Strasbourg,1,2,A,1,2,A,28,8,7,6,10,16,14,2,1,3,0,0,22-23
15/01/2023,Lille,Troyes,5,1,H,2,0,H,23,10,13,2,12,5,7,2,1,0,0,0,22-23
15/01/2023,Angers,Clermont,1,2,A,0,1,A,5,10,1,6,15,11,3,1,2,2,0,0,22-23
15/01/2023,Montpellier,Nantes,0,3,A,0,1,A,11,12,5,7,13,14,3,5,1,2,2,0,22-23
15/01/2023,Reims,Nice,0,0,D,0,0,D,13,6,2,4,5,5,5,3,1,1,0,0,22-23
15/01/2023,Toulouse,Brest,1,1,D,0,1,A,16,17,7,5,16,12,10,5,2,2,0,0,22-23
15/01/2023,Monaco,Ajaccio,7,1,H,5,1,H,11,5,8,2,8,14,3,3,1,2,0,0,22-23
15/01/2023,Rennes,Paris SG,1,0,H,0,0,D,8,8,6,1,8,17,4,5,0,0,0,0,22-23
27/01/2023,Lorient,Rennes,2,1,H,2,0,H,4,19,4,6,4,6,2,10,1,1,0,0,22-23
28/01/2023,Troyes,Lens,1,1,D,0,0,D,6,21,1,5,12,7,3,11,2,2,0,0,22-23
28/01/2023,Marseille,Monaco,1,1,D,0,1,A,22,11,6,4,7,9,6,3,2,2,0,0,22-23
29/01/2023,Nice,Lille,1,0,H,1,0,H,12,16,6,7,12,11,5,7,3,2,0,0,22-23
29/01/2023,Auxerre,Montpellier,0,2,A,0,0,D,16,4,5,3,13,18,5,3,1,3,0,0,22-23
29/01/2023,Brest,Angers,4,0,H,2,0,H,9,8,7,1,10,17,4,5,0,2,0,0,22-23
29/01/2023,Clermont,Nantes,0,0,D,0,0,D,9,4,0,0,9,23,9,1,2,1,0,0,22-23
29/01/2023,Strasbourg,Toulouse,1,2,A,1,1,D,11,10,2,3,14,10,4,2,2,2,1,0,22-23
29/01/2023,Ajaccio,Lyon,0,2,A,0,1,A,16,8,5,2,22,18,5,1,2,3,0,0,22-23
29/01/2023,Paris SG,Reims,1,1,D,0,0,D,12,17,5,4,5,10,3,3,2,1,1,0,22-23
01/02/2023,Angers,Ajaccio,1,2,A,1,0,H,6,9,2,4,18,11,2,6,1,2,1,0,22-23
01/02/2023,Lille,Clermont,0,0,D,0,0,D,22,13,5,5,15,11,8,3,0,1,0,0,22-23
01/02/2023,Nantes,Marseille,0,2,A,0,0,D,12,13,2,4,14,16,5,7,4,3,0,0,22-23
01/02/2023,Reims,Lorient,4,2,H,1,2,A,31,12,9,5,11,7,5,7,1,0,0,0,22-23
01/02/2023,Toulouse,Troyes,4,1,H,2,1,H,13,11,6,3,12,14,8,0,2,3,0,0,22-23
01/02/2023,Lens,Nice,0,1,A,0,0,D,9,14,4,6,12,8,5,3,0,2,0,0,22-23
01/02/2023,Lyon,Brest,0,0,D,0,0,D,28,8,8,1,10,13,15,2,0,0,0,0,22-23
01/02/2023,Monaco,Auxerre,3,2,H,2,0,H,16,11,6,3,11,7,5,4,0,0,0,0,22-23
01/02/2023,Montpellier,Paris SG,1,3,A,0,0,D,6,19,3,8,9,12,1,3,1,1,0,0,22-23
01/02/2023,Rennes,Strasbourg,3,0,H,2,0,H,6,3,3,0,12,13,4,0,0,1,0,0,22-23
04/02/2023,Paris SG,Toulouse,2,1,H,1,1,D,22,14,5,5,9,14,6,2,2,2,0,0,22-23
04/02/2023,Troyes,Lyon,1,3,A,0,1,A,8,10,2,6,10,14,5,6,0,1,0,0,22-23
04/02/2023,Rennes,Lille,1,3,A,1,0,H,10,15,6,6,16,9,2,1,1,2,0,0,22-23
05/02/2023,Clermont,Monaco,0,2,A,0,2,A,8,14,3,5,9,21,2,4,1,2,0,0,22-23
05/02/2023,Ajaccio,Nantes,0,2,A,0,0,D,8,7,2,3,16,16,2,2,2,1,1,0,22-23
05/02/2023,Auxerre,Reims,0,0,D,0,0,D,12,8,3,4,13,10,4,5,2,0,0,0,22-23
05/02/2023,Lorient,Angers,0,0,D,0,0,D,13,13,2,5,16,16,8,6,2,4,0,0,22-23
05/02/2023,Strasbourg,Montpellier,2,0,H,2,0,H,6,11,2,0,11,16,4,7,3,1,1,0,22-23
05/02/2023,Brest,Lens,1,1,D,0,0,D,16,20,3,7,15,9,11,5,4,2,0,0,22-23
05/02/2023,Marseille,Nice,1,3,A,0,2,A,22,14,5,8,10,5,9,1,0,1,0,0,22-23
10/02/2023,Nice,Ajaccio,3,0,H,1,0,H,11,6,3,3,9,7,5,5,1,0,0,0,22-23
11/02/2023,Monaco,Paris SG,3,1,H,3,1,H,19,7,9,2,9,11,3,2,0,1,0,0,22-23
11/02/2023,Clermont,Marseille,0,2,A,0,1,A,9,17,4,5,15,16,3,4,4,3,0,0,22-23
12/02/2023,Toulouse,Rennes,3,1,H,3,0,H,13,13,7,4,12,17,2,7,1,1,0,0,22-23
12/02/2023,Angers,Auxerre,1,1,D,1,1,D,10,15,5,4,10,9,6,4,2,0,0,0,22-23
12/02/2023,Lille,Strasbourg,2,0,H,2,0,H,14,5,10,0,13,13,5,4,1,2,0,0,22-23
12/02/2023,Montpellier,Brest,3,0,H,2,0,H,16,10,7,2,15,20,4,3,1,2,0,0,22-23
12/02/2023,Reims,Troyes,4,0,H,2,0,H,20,7,10,2,13,14,5,2,1,2,0,0,22-23
12/02/2023,Nantes,Lorient,1,0,H,0,0,D,13,9,6,5,12,11,7,3,0,0,0,0,22-23
12/02/2023,Lyon,Lens,2,1,H,1,1,D,11,14,5,4,15,11,2,5,1,1,0,0,22-23
17/02/2023,Auxerre,Lyon,2,1,H,0,1,A,8,6,3,4,17,12,6,4,4,2,0,0,22-23
18/02/2023,Nice,Reims,0,0,D,0,0,D,16,10,1,2,9,13,9,0,1,1,0,0,22-23
18/02/2023,Strasbourg,Angers,2,1,H,2,0,H,18,10,5,3,14,16,4,5,3,3,0,0,22-23
19/02/2023,Paris SG,Lille,4,3,H,2,1,H,12,16,10,7,9,19,3,6,2,4,0,0,22-23
19/02/2023,Brest,Monaco,1,2,A,0,1,A,13,10,3,3,7,10,5,5,1,2,0,0,22-23
19/02/2023,Lorient,Ajaccio,3,0,H,2,0,H,10,12,6,3,11,14,2,2,0,2,0,0,22-23
19/02/2023,Rennes,Clermont,2,0,H,1,0,H,18,7,6,3,9,10,2,7,0,2,0,0,22-23
